Hz,grad,eingang,schaltung,db,performance,ideal
100,-80,175,100,-4.860760974,0.571428571,0
500,-104,175,420,7.604224834,2.4,0
1000,-118,175,720,12.28588895,4.114285714,0
2000,-136,170,1170,16.75473881,6.882352941,0
2275,-140,170,1200,16.97464649,7.058823529,10
3000,-149,170,1330,17.86805439,7.823529412,10
4000,-155,165,1400,18.57288183,8.484848485,10
10000,-170,163,1500,19.27807309,9.202453988,10
50000,-180,160,1500,19.43942553,9.375,10
100000,170,160,1500,19.43942553,9.375,10
400000,150,160,1400,19.08485019,8.75,10
457000,148,160,1300,18.19646739,8.125,10
800000,130,160,1100,16.74545405,6.875,0
1000000,120,160,960,15.56302501,6,0
1200000,115,155,860,14.88333506,5.548387097,0
1500000,110,155,680,12.84354429,4.387096774,0
2000000,100,150,530,10.96369221,3.533333333,0
3000000,90,150,360,7.604224834,2.4,0
5000000,65,140,190,2.652511305,1.357142857,0
10000000,60,120,74,-4.198990526,0.616666667,0
